threshold,flat. acc.,em. ratio,ml. acc.
0.09,0.46241036317372197,0.0,0.14709209365697942
0.0901,0.46241036317372197,0.0,0.14709209365697942
0.0902,0.46241036317372197,0.0,0.14709209365697942
0.0903,0.46241036317372197,0.0,0.14709209365697942
0.09040000000000001,0.46241036317372197,0.0,0.14709209365697942
0.09050000000000001,0.46241036317372197,0.0,0.14709209365697942
0.09060000000000001,0.46241036317372197,0.0,0.14709209365697942
0.09070000000000002,0.46241036317372197,0.0,0.14709209365697942
0.09080000000000002,0.46241036317372197,0.0,0.14709209365697942
0.09090000000000002,0.46241036317372197,0.0,0.14709209365697942
0.09100000000000003,0.46241036317372197,0.0,0.14709209365697942
0.09110000000000003,0.46241036317372197,0.0,0.14709209365697942
0.09120000000000003,0.46241036317372197,0.0,0.14709209365697942
0.09130000000000003,0.46241036317372197,0.0,0.14709209365697942
0.09140000000000004,0.46241036317372197,0.0,0.14709209365697942
0.09150000000000004,0.46241036317372197,0.0,0.14709209365697942
0.09160000000000004,0.46241036317372197,0.0,0.14709209365697942
0.09170000000000005,0.46241036317372197,0.0,0.14709209365697942
0.09180000000000005,0.46241036317372197,0.0,0.14709209365697942
0.09190000000000005,0.46241036317372197,0.0,0.14709209365697942
0.09200000000000005,0.46241036317372197,0.0,0.14709209365697942
0.09210000000000006,0.46241036317372197,0.0,0.14709209365697942
0.09220000000000006,0.46241036317372197,0.0,0.14709209365697942
0.09230000000000006,0.46241036317372197,0.0,0.14709209365697942
0.09240000000000007,0.46241036317372197,0.0,0.14709209365697942
0.09250000000000007,0.46241036317372197,0.0,0.14709209365697942
0.09260000000000007,0.46241036317372197,0.0,0.14709209365697942
0.09270000000000007,0.46241036317372197,0.0,0.14709209365697942
0.09280000000000008,0.46241036317372197,0.0,0.14709209365697942
0.09290000000000008,0.46241036317372197,0.0,0.14709209365697942
0.09300000000000008,0.46241036317372197,0.0,0.14709209365697942
0.09310000000000009,0.46241036317372197,0.0,0.14709209365697942
0.09320000000000009,0.46241036317372197,0.0,0.14709209365697942
0.09330000000000009,0.46241036317372197,0.0,0.14709209365697942
0.0934000000000001,0.46241036317372197,0.0,0.14709209365697942
0.0935000000000001,0.46241036317372197,0.0,0.14709209365697942
0.0936000000000001,0.46241036317372197,0.0,0.14709209365697942
0.0937000000000001,0.46241036317372197,0.0,0.14709209365697942
0.0938000000000001,0.46241036317372197,0.0,0.14709209365697942
0.09390000000000011,0.46241036317372197,0.0,0.14709209365697942
0.09400000000000011,0.46241036317372197,0.0,0.14709209365697942
0.09410000000000011,0.46241036317372197,0.0,0.14709209365697942
0.09420000000000012,0.46241036317372197,0.0,0.14709209365697942
0.09430000000000012,0.46241036317372197,0.0,0.14709209365697942
0.09440000000000012,0.46241036317372197,0.0,0.14709209365697942
0.09450000000000013,0.46241036317372197,0.0,0.14709209365697942
0.09460000000000013,0.46241036317372197,0.0,0.14709209365697942
0.09470000000000013,0.46241036317372197,0.0,0.14709209365697942
0.09480000000000013,0.46241036317372197,0.0,0.14709209365697942
0.09490000000000014,0.46241036317372197,0.0,0.14709209365697942
0.09500000000000014,0.46241036317372197,0.0,0.14709209365697942
0.09510000000000014,0.46241036317372197,0.0,0.14709209365697942
0.09520000000000015,0.46241036317372197,0.0,0.14709209365697942
0.09530000000000015,0.46241036317372197,0.0,0.14709209365697942
0.09540000000000015,0.46241036317372197,0.0,0.14709209365697942
0.09550000000000015,0.46241036317372197,0.0,0.14709209365697942
0.09560000000000016,0.46241036317372197,0.0,0.14709209365697942
0.09570000000000016,0.46241036317372197,0.0,0.14709209365697942
0.09580000000000016,0.46241036317372197,0.0,0.14709209365697942
0.09590000000000017,0.46241036317372197,0.0,0.14709209365697942
0.09600000000000017,0.46241036317372197,0.0,0.14709209365697942
0.09610000000000017,0.46241036317372197,0.0,0.14709209365697942
0.09620000000000017,0.46241036317372197,0.0,0.14709209365697942
0.09630000000000018,0.46241036317372197,0.0,0.14709209365697942
0.09640000000000018,0.46241036317372197,0.0,0.14709209365697942
0.09650000000000018,0.46241036317372197,0.0,0.14709209365697942
0.09660000000000019,0.46241036317372197,0.0,0.14709209365697942
0.09670000000000019,0.46241036317372197,0.0,0.14709209365697942
0.09680000000000019,0.46241036317372197,0.0,0.14709209365697942
0.0969000000000002,0.46241036317372197,0.0,0.14709209365697942
0.0970000000000002,0.46241036317372197,0.0,0.14709209365697942
0.0971000000000002,0.46241036317372197,0.0,0.14709209365697942
0.0972000000000002,0.46241036317372197,0.0,0.14709209365697942
0.0973000000000002,0.46241036317372197,0.0,0.14709209365697942
0.09740000000000021,0.46241036317372197,0.0,0.14709209365697942
0.09750000000000021,0.46241036317372197,0.0,0.14709209365697942
0.09760000000000021,0.46241036317372197,0.0,0.14709209365697942
0.09770000000000022,0.46241036317372197,0.0,0.14709209365697942
0.09780000000000022,0.46241036317372197,0.0,0.14709209365697942
0.09790000000000022,0.46241036317372197,0.0,0.14709209365697942
0.09800000000000023,0.46241036317372197,0.0,0.14709209365697942
0.09810000000000023,0.46241036317372197,0.0,0.14709209365697942
0.09820000000000023,0.46241036317372197,0.0,0.14709209365697942
0.09830000000000023,0.46241036317372197,0.0,0.14709209365697942
0.09840000000000024,0.46241036317372197,0.0,0.14709209365697942
0.09850000000000024,0.46241036317372197,0.0,0.14709209365697942
0.09860000000000024,0.46241036317372197,0.0,0.14709209365697942
0.09870000000000025,0.46241036317372197,0.0,0.14709209365697942
0.09880000000000025,0.46241036317372197,0.0,0.14709209365697942
0.09890000000000025,0.46241036317372197,0.0,0.14709209365697942
